Algorithm Names,Number of Iterations,Total Waiting Time,Total Deceleration Time,Average Cars Waiting Per Iteration,Median Cars Waiting Per Iteration,Variance Cars Waiting Per Iteration,Number of Cars,Average Car Deceleration,Median Car Deceleration,Variance Car Deceleration,Average Waiting Per Car,Median Waiting Per Car,Variance Waiting Per Car
NaiveAlgo,299,234,486,0.782608695652174,1.0,0.9425153195214498,10,1.625418060200669,1.0,2.3759960494714045,23.4,22.0,274.84
MCAlgo,222,24,129,0.10810810810810811,0.0,0.16020545432310354,10,0.581081081081081,0.0,0.9504096857037954,2.4,1.0,8.44
MCTL,234,91,304,0.3888888888888889,0.0,0.5991893180734429,10,1.2991452991452992,1.0,1.5496130002567798,9.1,7.0,95.28999999999999
RLQTL,222,15,119,0.06756756756756757,0.0,0.13568545921487238,10,0.536036036036036,0.0,0.7294647588765162,1.5,1.0,4.25
RLQRS,222,15,119,0.06756756756756757,0.0,0.13568545921487238,10,0.536036036036036,0.0,0.7294647588765162,1.5,1.0,4.25
CostBased,222,21,112,0.0945945945945946,0.0,0.16748196159960707,10,0.5045045045045045,0.0,0.712649300884589,2.1,1.0,10.489999999999998
MLAlgo,222,21,112,0.0945945945945946,0.0,0.16748196159960707,10,0.5045045045045045,0.0,0.712649300884589,2.1,1.0,10.489999999999998
