Algorithm Names,Number of Iterations,Total Waiting Time,Total Deceleration Time,Average Cars Waiting Per Iteration,Median Cars Waiting Per Iteration,Variance Cars Waiting Per Iteration,Number of Cars,Average Car Deceleration,Median Car Deceleration,Variance Car Deceleration,Average Waiting Per Car,Median Waiting Per Car,Variance Waiting Per Car
NaiveAlgo,1312,4832,13417,3.682926829268293,2.0,18.620974493497666,60,10.226371951219512,7.0,90.28967775018303,80.73333333333333,70.0,4081.128888888889
MCAlgo,1131,1809,5275,1.5994694960212201,0.0,4.61907936433428,60,4.664014146772767,1.0,33.233916261746366,30.166666666666668,18.5,947.7055555555556
MCTL,1122,2896,10562,2.5811051693404634,1.0,9.467546324344402,60,9.41354723707665,7.0,78.471109796608,48.43333333333333,38.0,1716.3455555555556
RLQTL,1105,1740,5257,1.5746606334841629,0.0,4.938487769689852,60,4.757466063348416,1.0,30.23460226900067,29.05,18.0,1032.8475
RLQRS,1112,1756,5353,1.579136690647482,0.0,4.659798353936266,60,4.813848920863309,1.0,29.99681973593049,29.316666666666666,16.0,1084.4163888888893
CostBased,1073,1435,4950,1.3373718546132338,0.0,3.2274919670055953,60,4.613233923578751,1.0,28.12359335660875,23.966666666666665,12.5,885.7655555555555
MLAlgo,1073,1435,4950,1.3373718546132338,0.0,3.2274919670055953,60,4.613233923578751,1.0,28.12359335660875,23.966666666666665,12.5,885.7655555555555
