Algorithm Names,Number of Iterations,Total Waiting Time,Total Deceleration Time,Average Cars Waiting Per Iteration,Median Cars Waiting Per Iteration,Variance Cars Waiting Per Iteration,Number of Cars,Average Car Deceleration,Median Car Deceleration,Variance Car Deceleration,Average Waiting Per Car,Median Waiting Per Car,Variance Waiting Per Car
NaiveAlgo,482,322,1010,0.6680497925311203,0.0,1.7232598062473998,30,2.095435684647303,1.0,9.084428188162672,10.766666666666667,4.0,210.11222222222221
MCAlgo,330,32,249,0.09696969696969697,0.0,0.13038592613060587,30,0.7545454545454545,0.0,1.9426084553743965,1.0666666666666667,0.0,7.7955555555555565
MCTL,396,205,574,0.5176767676767676,0.0,0.8579145889272324,30,1.4494949494949494,0.5,5.1847845544047395,6.833333333333333,1.0,116.07222222222222
RLQTL,330,27,218,0.08181818181818182,0.0,0.13614258082343345,30,0.6606060606060606,0.0,1.8419084461637802,0.9,0.0,3.0900000000000007
RLQRS,330,22,226,0.06666666666666667,0.0,0.11104356636271598,30,0.6848484848484848,0.0,1.8578244450584724,0.7333333333333333,0.0,2.062222222222222
CostBased,330,23,237,0.0696969696969697,0.0,0.10151054619139946,30,0.7181818181818181,0.0,2.0692732799115556,0.7666666666666667,0.0,1.7788888888888892
MLAlgo,330,23,237,0.0696969696969697,0.0,0.10151054619139946,30,0.7181818181818181,0.0,2.0692732799115556,0.7666666666666667,0.0,1.7788888888888892
