Algorithm Names,Number of Iterations,Total Waiting Time,Total Deceleration Time,Average Car Waiting,Median Car Waiting,Variance Car Waiting,Number of Cars,Average Car Deceleration,Median Car Deceleration,Variance Car Deceleration
NaiveAlgo,119,869,871,7.302521008403361,6.0,43.85685799743629,60,7.319327731092437,6.0,44.82936903574986
MCAlgo,97,571,730,5.88659793814433,5.0,29.851589347079013,60,7.525773195876289,7.0,42.46026632302403
MCTL,99,625,776,6.313131313131313,6.0,32.38054009482582,60,7.838383838383838,7.0,48.13687899402187
RLQTL,88,466,615,5.295454545454546,5.0,23.91170323928946,60,6.988636363636363,7.0,39.73550156739811
RLQRS,89,464,633,5.213483146067416,5.0,22.510725229826342,60,7.112359550561798,6.0,40.100868232890704
CostBased,95,476,673,5.010526315789473,3.0,25.691377379619283,60,7.08421052631579,7.0,47.737513997760324
MLAlgo,95,476,673,5.010526315789473,3.0,25.691377379619283,60,7.08421052631579,7.0,47.737513997760324
