Algorithm Names,Number of Iterations,Total Waiting Time,Total Deceleration Time,Average Car Waiting,Median Car Waiting,Variance Car Waiting,Number of Cars,Average Car Deceleration,Median Car Deceleration,Variance Car Deceleration
NaiveAlgo,2003,4897,13996,2.4448327508736893,0.0,16.163163845640405,60,6.987518721917124,1.0,86.67666731670595
MCAlgo,1541,2056,5779,1.3341985723556133,0.0,5.413563464439347,60,3.7501622323166774,0.0,31.151176921715543
MCTL,1777,2635,10516,1.4828362408553741,0.0,6.789260419677262,60,5.9178390545863815,1.0,69.9887412736321
RLQTL,1543,1908,5549,1.236552171095269,0.0,4.72805347441679,60,3.596241088788075,0.0,28.366704408763816
RLQRS,1543,1913,5556,1.239792611795204,0.0,4.99045183763638,60,3.6007777057679844,0.0,28.596679031615793
CostBased,1641,1765,5424,1.0755636806825106,0.0,4.260140307070166,60,3.3053016453382082,0.0,26.145148704687735
MLAlgo,1641,1765,5424,1.0755636806825106,0.0,4.260140307070166,60,3.3053016453382082,0.0,26.145148704687735
