Algorithm Names,Number of Iterations,Total Waiting Time,Total Deceleration Time,Average Car Waiting,Median Car Waiting,Variance Car Waiting,Number of Cars,Average Car Deceleration,Median Car Deceleration,Variance Car Deceleration
NaiveAlgo,492,1989,3586,4.0426829268292686,3.0,15.18554716606224,60,7.288617886178862,7.0,29.0203997151987
MCAlgo,366,900,2212,2.459016393442623,2.0,6.944891084662014,60,6.043715846994536,5.0,23.685754921775594
MCTL,417,1077,2876,2.58273381294964,2.0,8.455278085224082,60,6.896882494004796,6.0,24.318668142409386
RLQTL,358,809,2310,2.2597765363128492,1.0,9.498153451324603,60,6.4525139664804465,5.0,29.688214950784786
RLQRS,359,782,2251,2.1782729805013927,1.0,8.901090863821002,60,6.270194986072424,5.0,29.784332643438503
CostBased,352,825,2492,2.34375,1.0,12.687767094017094,60,7.079545454545454,6.0,30.238668738668757
MLAlgo,352,825,2492,2.34375,1.0,12.687767094017094,60,7.079545454545454,6.0,30.238668738668757
