Algorithm Names,Number of Iterations,Total Waiting Time,Total Deceleration Time,Average Cars Waiting Per Iteration,Median Cars Waiting Per Iteration,Variance Cars Waiting Per Iteration,Number of Cars,Average Car Deceleration,Median Car Deceleration,Variance Car Deceleration,Average Waiting Per Car,Median Waiting Per Car,Variance Waiting Per Car
NaiveAlgo,58,16,45,0.27586206896551724,0.0,0.37870538415003013,3,0.7758620689655172,1.0,0.5278281911675743,5.333333333333333,6.0,16.88888888888889
MCAlgo,43,6,15,0.13953488372093023,0.0,0.17054263565891464,3,0.3488372093023256,0.0,0.2801771871539316,2.0,2.0,2.6666666666666665
MCTL,56,22,33,0.39285714285714285,0.0,0.4974025974025976,3,0.5892857142857143,1.0,0.39188311688311667,7.333333333333333,10.0,27.555555555555554
RLQTL,43,6,15,0.13953488372093023,0.0,0.17054263565891464,3,0.3488372093023256,0.0,0.2801771871539316,2.0,2.0,2.6666666666666665
RLQRS,43,6,15,0.13953488372093023,0.0,0.17054263565891464,3,0.3488372093023256,0.0,0.2801771871539316,2.0,2.0,2.6666666666666665
CostBased,43,6,15,0.13953488372093023,0.0,0.17054263565891464,3,0.3488372093023256,0.0,0.2801771871539316,2.0,2.0,2.6666666666666665
MLAlgo,43,6,15,0.13953488372093023,0.0,0.17054263565891464,3,0.3488372093023256,0.0,0.2801771871539316,2.0,2.0,2.6666666666666665
